[{'rarity': 'N', 'index': 40}, {'rarity': 'N', 'index': 19}, {'rarity': 'R', 'index': 18}]
[{'rarity': 'N', 'index': 16}, {'rarity': 'R', 'index': 17}, {'rarity': 'SR', 'index': 1}]
[{'rarity': 'N', 'index': 9}, {'rarity': 'R', 'index': 15}, {'rarity': 'R', 'index': 16}]
[{'rarity': 'N', 'index': 26}, {'rarity': 'N', 'index': 7}, {'rarity': 'SR', 'index': 2}]
[{'rarity': 'N', 'index': 13}, {'rarity': 'N', 'index': 8}, {'rarity': 'R', 'index': 21}]
[{'rarity': 'N', 'index': 32}, {'rarity': 'N', 'index': 38}, {'rarity': 'SR', 'index': 3}]
[{'rarity': 'N', 'index': 23}, {'rarity': 'N', 'index': 6}, {'rarity': 'R', 'index': 7}]
[{'rarity': 'N', 'index': 2}, {'rarity': 'N', 'index': 26}, {'rarity': 'R', 'index': 1}]
[{'rarity': 'N', 'index': 6}, {'rarity': 'N', 'index': 28}, {'rarity': 'R', 'index': 24}]
[{'rarity': 'N', 'index': 32}, {'rarity': 'N', 'index': 24}, {'rarity': 'R', 'index': 15}]
[{'rarity': 'N', 'index': 29}, {'rarity': 'N', 'index': 32}, {'rarity': 'R', 'index': 24}]
[{'rarity': 'N', 'index': 10}, {'rarity': 'N', 'index': 41}, {'rarity': 'R', 'index': 14}]
[{'rarity': 'N', 'index': 29}, {'rarity': 'N', 'index': 29}, {'rarity': 'R', 'index': 2}]
[{'rarity': 'N', 'index': 16}, {'rarity': 'N', 'index': 15}, {'rarity': 'R', 'index': 25}]
[{'rarity': 'N', 'index': 14}, {'rarity': 'N', 'index': 25}, {'rarity': 'R', 'index': 10}]
[{'rarity': 'N', 'index': 5}, {'rarity': 'N', 'index': 37}, {'rarity': 'UR', 'index': 5}]
[{'rarity': 'N', 'index': 7}, {'rarity': 'N', 'index': 12}, {'rarity': 'R', 'index': 19}]
[{'rarity': 'N', 'index': 4}, {'rarity': 'N', 'index': 27}, {'rarity': 'R', 'index': 21}]
[{'rarity': 'N', 'index': 30}, {'rarity': 'N', 'index': 5}, {'rarity': 'R', 'index': 2}]
[{'rarity': 'N', 'index': 3}, {'rarity': 'N', 'index': 23}, {'rarity': 'R', 'index': 4}]
[{'rarity': 'N', 'index': 24}, {'rarity': 'N', 'index': 34}, {'rarity': 'SR', 'index': 5}]
[{'rarity': 'N', 'index': 39}, {'rarity': 'N', 'index': 39}, {'rarity': 'R', 'index': 17}]
[{'rarity': 'N', 'index': 27}, {'rarity': 'N', 'index': 25}, {'rarity': 'R', 'index': 4}]
[{'rarity': 'N', 'index': 37}, {'rarity': 'N', 'index': 4}, {'rarity': 'R', 'index': 5}]
[{'rarity': 'N', 'index': 9}, {'rarity': 'N', 'index': 1}, {'rarity': 'R', 'index': 0}]
[{'rarity': 'N', 'index': 41}, {'rarity': 'N', 'index': 32}, {'rarity': 'R', 'index': 11}]
[{'rarity': 'N', 'index': 6}, {'rarity': 'N', 'index': 29}, {'rarity': 'R', 'index': 25}]
[{'rarity': 'N', 'index': 41}, {'rarity': 'N', 'index': 41}, {'rarity': 'R', 'index': 16}]
[{'rarity': 'N', 'index': 31}, {'rarity': 'N', 'index': 14}, {'rarity': 'R', 'index': 12}]
[{'rarity': 'N', 'index': 23}, {'rarity': 'N', 'index': 20}, {'rarity': 'R', 'index': 25}]
[{'rarity': 'N', 'index': 20}, {'rarity': 'N', 'index': 4}, {'rarity': 'R', 'index': 13}]
[{'rarity': 'N', 'index': 8}, {'rarity': 'N', 'index': 23}, {'rarity': 'R', 'index': 22}]
[{'rarity': 'N', 'index': 25}, {'rarity': 'N', 'index': 35}, {'rarity': 'R', 'index': 12}]
[{'rarity': 'N', 'index': 31}, {'rarity': 'N', 'index': 41}, {'rarity': 'R', 'index': 17}]
[{'rarity': 'N', 'index': 17}, {'rarity': 'N', 'index': 2}, {'rarity': 'R', 'index': 22}]
[{'rarity': 'N', 'index': 33}, {'rarity': 'N', 'index': 0}, {'rarity': 'R', 'index': 1}]
[{'rarity': 'N', 'index': 21}, {'rarity': 'N', 'index': 31}, {'rarity': 'R', 'index': 15}]
[{'rarity': 'N', 'index': 31}, {'rarity': 'N', 'index': 34}, {'rarity': 'R', 'index': 23}]
[{'rarity': 'N', 'index': 16}, {'rarity': 'N', 'index': 36}, {'rarity': 'UR', 'index': 4}]
[{'rarity': 'N', 'index': 15}, {'rarity': 'N', 'index': 14}, {'rarity': 'R', 'index': 12}]
[{'rarity': 'N', 'index': 36}, {'rarity': 'N', 'index': 12}, {'rarity': 'R', 'index': 3}]
[{'rarity': 'N', 'index': 6}, {'rarity': 'N', 'index': 16}, {'rarity': 'SR', 'index': 9}]
[{'rarity': 'N', 'index': 25}, {'rarity': 'N', 'index': 12}, {'rarity': 'R', 'index': 8}]
[{'rarity': 'N', 'index': 23}, {'rarity': 'R', 'index': 21}, {'rarity': 'R', 'index': 27}]
[{'rarity': 'N', 'index': 9}, {'rarity': 'N', 'index': 25}, {'rarity': 'R', 'index': 0}]
[{'rarity': 'N', 'index': 40}, {'rarity': 'N', 'index': 8}, {'rarity': 'R', 'index': 9}]
[{'rarity': 'N', 'index': 16}, {'rarity': 'R', 'index': 0}, {'rarity': 'R', 'index': 4}]
[{'rarity': 'N', 'index': 40}, {'rarity': 'R', 'index': 11}, {'rarity': 'R', 'index': 4}]
[{'rarity': 'N', 'index': 27}, {'rarity': 'N', 'index': 13}, {'rarity': 'R', 'index': 12}]
[{'rarity': 'N', 'index': 29}, {'rarity': 'N', 'index': 26}, {'rarity': 'SR', 'index': 9}]
[{'rarity': 'N', 'index': 10}, {'rarity': 'N', 'index': 10}, {'rarity': 'R', 'index': 6}]
[{'rarity': 'N', 'index': 40}, {'rarity': 'R', 'index': 4}, {'rarity': 'R', 'index': 15}]
[{'rarity': 'N', 'index': 5}, {'rarity': 'N', 'index': 33}, {'rarity': 'UR', 'index': 7}]
[{'rarity': 'N', 'index': 37}, {'rarity': 'N', 'index': 15}, {'rarity': 'R', 'index': 23}]
[{'rarity': 'N', 'index': 11}, {'rarity': 'N', 'index': 26}, {'rarity': 'R', 'index': 27}]
[{'rarity': 'N', 'index': 5}, {'rarity': 'N', 'index': 17}, {'rarity': 'R', 'index': 1}]
[{'rarity': 'N', 'index': 11}, {'rarity': 'N', 'index': 14}, {'rarity': 'R', 'index': 8}]
[{'rarity': 'N', 'index': 0}, {'rarity': 'N', 'index': 11}, {'rarity': 'SR', 'index': 8}]
[{'rarity': 'N', 'index': 15}, {'rarity': 'N', 'index': 20}, {'rarity': 'R', 'index': 20}]
[{'rarity': 'N', 'index': 13}, {'rarity': 'N', 'index': 30}, {'rarity': 'R', 'index': 13}]
[{'rarity': 'N', 'index': 36}, {'rarity': 'N', 'index': 37}, {'rarity': 'R', 'index': 0}]
[{'rarity': 'N', 'index': 19}, {'rarity': 'N', 'index': 39}, {'rarity': 'SR', 'index': 0}]
[{'rarity': 'N', 'index': 40}, {'rarity': 'N', 'index': 41}, {'rarity': 'R', 'index': 10}]
[{'rarity': 'N', 'index': 38}, {'rarity': 'N', 'index': 0}, {'rarity': 'R', 'index': 1}]
[{'rarity': 'N', 'index': 16}, {'rarity': 'N', 'index': 8}, {'rarity': 'R', 'index': 2}]
[{'rarity': 'N', 'index': 28}, {'rarity': 'N', 'index': 30}, {'rarity': 'R', 'index': 26}]
[{'rarity': 'N', 'index': 21}, {'rarity': 'N', 'index': 22}, {'rarity': 'R', 'index': 9}]
[{'rarity': 'N', 'index': 40}, {'rarity': 'N', 'index': 35}, {'rarity': 'UR', 'index': 3}]
[{'rarity': 'N', 'index': 21}, {'rarity': 'N', 'index': 27}, {'rarity': 'R', 'index': 1}]
[{'rarity': 'N', 'index': 18}, {'rarity': 'N', 'index': 27}, {'rarity': 'SR', 'index': 3}]
[{'rarity': 'N', 'index': 18}, {'rarity': 'N', 'index': 35}, {'rarity': 'R', 'index': 13}]
[{'rarity': 'N', 'index': 26}, {'rarity': 'N', 'index': 10}, {'rarity': 'R', 'index': 27}]
[{'rarity': 'N', 'index': 31}, {'rarity': 'N', 'index': 0}, {'rarity': 'R', 'index': 5}]
[{'rarity': 'N', 'index': 5}, {'rarity': 'N', 'index': 31}, {'rarity': 'R', 'index': 25}]
[{'rarity': 'N', 'index': 6}, {'rarity': 'N', 'index': 13}, {'rarity': 'R', 'index': 9}]
[{'rarity': 'N', 'index': 2}, {'rarity': 'N', 'index': 33}, {'rarity': 'R', 'index': 16}]
[{'rarity': 'N', 'index': 7}, {'rarity': 'N', 'index': 39}, {'rarity': 'R', 'index': 16}]
[{'rarity': 'N', 'index': 28}, {'rarity': 'N', 'index': 12}, {'rarity': 'R', 'index': 6}]
[{'rarity': 'N', 'index': 3}, {'rarity': 'N', 'index': 0}, {'rarity': 'R', 'index': 26}]
[{'rarity': 'N', 'index': 15}, {'rarity': 'N', 'index': 5}, {'rarity': 'R', 'index': 24}]
[{'rarity': 'N', 'index': 22}, {'rarity': 'N', 'index': 34}, {'rarity': 'R', 'index': 27}]
[{'rarity': 'N', 'index': 9}, {'rarity': 'N', 'index': 28}, {'rarity': 'R', 'index': 27}]
[{'rarity': 'N', 'index': 41}, {'rarity': 'N', 'index': 31}, {'rarity': 'R', 'index': 3}]
[{'rarity': 'N', 'index': 28}, {'rarity': 'N', 'index': 41}, {'rarity': 'SR', 'index': 1}]
[{'rarity': 'N', 'index': 39}, {'rarity': 'N', 'index': 35}, {'rarity': 'R', 'index': 26}]
[{'rarity': 'N', 'index': 11}, {'rarity': 'N', 'index': 21}, {'rarity': 'R', 'index': 9}]
[{'rarity': 'N', 'index': 12}, {'rarity': 'N', 'index': 4}, {'rarity': 'R', 'index': 10}]
[{'rarity': 'N', 'index': 38}, {'rarity': 'N', 'index': 36}, {'rarity': 'R', 'index': 22}]
[{'rarity': 'N', 'index': 1}, {'rarity': 'N', 'index': 18}, {'rarity': 'R', 'index': 20}]
[{'rarity': 'N', 'index': 21}, {'rarity': 'N', 'index': 35}, {'rarity': 'R', 'index': 7}]
[{'rarity': 'N', 'index': 39}, {'rarity': 'N', 'index': 27}, {'rarity': 'R', 'index': 14}]
[{'rarity': 'N', 'index': 30}, {'rarity': 'N', 'index': 8}, {'rarity': 'R', 'index': 24}]
[{'rarity': 'N', 'index': 25}, {'rarity': 'N', 'index': 20}, {'rarity': 'R', 'index': 11}]
[{'rarity': 'N', 'index': 9}, {'rarity': 'N', 'index': 24}, {'rarity': 'SR', 'index': 0}]
[{'rarity': 'N', 'index': 39}, {'rarity': 'N', 'index': 36}, {'rarity': 'R', 'index': 24}]
[{'rarity': 'N', 'index': 0}, {'rarity': 'N', 'index': 15}, {'rarity': 'SR', 'index': 7}]
[{'rarity': 'N', 'index': 4}, {'rarity': 'N', 'index': 17}, {'rarity': 'R', 'index': 23}]
[{'rarity': 'N', 'index': 34}, {'rarity': 'N', 'index': 32}, {'rarity': 'SR', 'index': 6}]
[{'rarity': 'N', 'index': 21}, {'rarity': 'N', 'index': 10}, {'rarity': 'SR', 'index': 5}]
[{'rarity': 'N', 'index': 24}, {'rarity': 'N', 'index': 11}, {'rarity': 'R', 'index': 2}]
[{'rarity': 'N', 'index': 28}, {'rarity': 'N', 'index': 28}, {'rarity': 'R', 'index': 20}]
[{'rarity': 'N', 'index': 34}, {'rarity': 'N', 'index': 10}, {'rarity': 'R', 'index': 18}]
[{'rarity': 'N', 'index': 1}, {'rarity': 'N', 'index': 38}, {'rarity': 'R', 'index': 10}]
[{'rarity': 'N', 'index': 9}, {'rarity': 'N', 'index': 34}, {'rarity': 'R', 'index': 23}]
[{'rarity': 'N', 'index': 17}, {'rarity': 'N', 'index': 11}, {'rarity': 'R', 'index': 5}]
[{'rarity': 'N', 'index': 8}, {'rarity': 'N', 'index': 22}, {'rarity': 'UR', 'index': 6}]
[{'rarity': 'N', 'index': 17}, {'rarity': 'N', 'index': 18}, {'rarity': 'R', 'index': 23}]
[{'rarity': 'N', 'index': 32}, {'rarity': 'N', 'index': 30}, {'rarity': 'R', 'index': 16}]
[{'rarity': 'N', 'index': 14}, {'rarity': 'N', 'index': 18}, {'rarity': 'R', 'index': 14}]
[{'rarity': 'N', 'index': 3}, {'rarity': 'N', 'index': 37}, {'rarity': 'R', 'index': 6}]
[{'rarity': 'N', 'index': 7}, {'rarity': 'N', 'index': 40}, {'rarity': 'R', 'index': 12}]
[{'rarity': 'N', 'index': 25}, {'rarity': 'N', 'index': 38}, {'rarity': 'R', 'index': 12}]
[{'rarity': 'N', 'index': 2}, {'rarity': 'N', 'index': 5}, {'rarity': 'R', 'index': 25}]
[{'rarity': 'N', 'index': 7}, {'rarity': 'N', 'index': 9}, {'rarity': 'UR', 'index': 1}]
[{'rarity': 'N', 'index': 33}, {'rarity': 'N', 'index': 19}, {'rarity': 'R', 'index': 9}]
[{'rarity': 'N', 'index': 14}, {'rarity': 'N', 'index': 16}, {'rarity': 'R', 'index': 23}]
[{'rarity': 'N', 'index': 33}, {'rarity': 'N', 'index': 16}, {'rarity': 'UR', 'index': 0}]
[{'rarity': 'N', 'index': 36}, {'rarity': 'N', 'index': 6}, {'rarity': 'R', 'index': 19}]
[{'rarity': 'N', 'index': 6}, {'rarity': 'N', 'index': 10}, {'rarity': 'R', 'index': 26}]
[{'rarity': 'N', 'index': 20}, {'rarity': 'N', 'index': 30}, {'rarity': 'R', 'index': 6}]
[{'rarity': 'N', 'index': 20}, {'rarity': 'N', 'index': 20}, {'rarity': 'R', 'index': 14}]
[{'rarity': 'N', 'index': 2}, {'rarity': 'N', 'index': 0}, {'rarity': 'R', 'index': 2}]
[{'rarity': 'N', 'index': 0}, {'rarity': 'N', 'index': 23}, {'rarity': 'R', 'index': 8}]
[{'rarity': 'N', 'index': 23}, {'rarity': 'N', 'index': 36}, {'rarity': 'R', 'index': 10}]
[{'rarity': 'N', 'index': 19}, {'rarity': 'R', 'index': 5}, {'rarity': 'SR', 'index': 6}]
[{'rarity': 'N', 'index': 22}, {'rarity': 'R', 'index': 10}, {'rarity': 'R', 'index': 17}]
[{'rarity': 'N', 'index': 33}, {'rarity': 'N', 'index': 22}, {'rarity': 'R', 'index': 9}]
[{'rarity': 'N', 'index': 12}, {'rarity': 'R', 'index': 7}, {'rarity': 'R', 'index': 11}]
[{'rarity': 'N', 'index': 35}, {'rarity': 'N', 'index': 15}, {'rarity': 'UR', 'index': 8}]
[{'rarity': 'N', 'index': 26}, {'rarity': 'N', 'index': 2}, {'rarity': 'R', 'index': 19}]
[{'rarity': 'N', 'index': 33}, {'rarity': 'N', 'index': 11}, {'rarity': 'R', 'index': 7}]
[{'rarity': 'N', 'index': 13}, {'rarity': 'N', 'index': 1}, {'rarity': 'SR', 'index': 10}]
[{'rarity': 'N', 'index': 22}, {'rarity': 'R', 'index': 17}, {'rarity': 'SR', 'index': 2}]
[{'rarity': 'N', 'index': 2}, {'rarity': 'R', 'index': 5}, {'rarity': 'R', 'index': 16}]
[{'rarity': 'N', 'index': 32}, {'rarity': 'N', 'index': 17}, {'rarity': 'R', 'index': 17}]
[{'rarity': 'N', 'index': 31}, {'rarity': 'R', 'index': 26}, {'rarity': 'R', 'index': 18}]
[{'rarity': 'N', 'index': 1}, {'rarity': 'R', 'index': 20}, {'rarity': 'R', 'index': 20}]
[{'rarity': 'N', 'index': 3}, {'rarity': 'R', 'index': 3}, {'rarity': 'R', 'index': 1}]
remaining packs: 15
N, 37, False
N, 13, False
R, 15, False
N, 38, False
N, 12, False
N, 26, False
R, 3, False
R, 8, False
R, 3, False
N, 7, False
N, 14, False
R, 6, False
R, 0, False
N, 26, False
N, 14, False
R, 25, False
N, 21, False
N, 3, True
N, 29, False
R, 11, False
N, 1, True
R, 22, False
N, 4, True
N, 27, False
R, 13, False
N, 32, False
N, 24, False
N, 34, False
R, 20, False
N, 19, False
N, 35, False
R, 3, False
N, 12, False
N, 19, False
SR, 8, False
N, 27, False
N, 18, False
N, 29, False
SR, 4, False
R, 2, False
R, 18, False
N, 11, False
R, 21, False
R, 0, False
N, 34, False
